triple,truth
Michael Dowse directed FUBAR  film ,1
Frederick II of Denmark isMarriedTo Sophie of Mecklenburg-Güstrow,1
Elena of Montenegro isMarriedTo Victor Emmanuel III of Italy,1
Alan Rudolph directed Welcome to L.A.,1
Márton Keleti created Two Confessions,1
Roberta Taylor isMarriedTo Peter Guinness  actor ,1
Todd Manning hasChild Blair Cramer,1
Elisabeth Ludovika of Bavaria isMarriedTo Frederick William IV of Prussia,1
Emilio Fernández created La Choca,1
Alan Rudolph directed Trixie  film ,1
Michael Dowse produced FUBAR 2  film ,1
Benito Alazraki directed Roots  film ,1
Prince Harald of Denmark isMarriedTo Princess Helena Adelaide of Schleswig-Holstein-Sonderburg-Glücksburg,1
Lotte Reiniger created The Adventures of Prince Achmed,1
Solomonia Saburova isMarriedTo Vasili III of Russia,1
Saeed Akhtar Mirza created Albert Pinto Ko Gussa Kyon Aata Hai,1
Dina Merrill isMarriedTo Ted Hartley,1
Sarah Clarke isMarriedTo Xander Berkeley,1
Marco Ferreri directed Bye Bye Monkey,1
Marie of Anjou isMarriedTo Charles VII of France,1
Manish Gupta directed The Stoneman Murders,1
Amelia Earhart isMarriedTo George P. Putnam,1
Chris Rock directed I Think I Love My Wife,1
Kenneth Branagh produced Peter's Friends,1
Nefertiti isMarriedTo Akhenaten,1
Gardner Dickinson isMarriedTo Judy Dickinson,1
Tana Ramsay isMarriedTo Gordon Ramsay,1
Maurice Cloche directed Born of Unknown Father,1
Dina Merrill isMarriedTo Cliff Robertson,1
Craig Ferguson directed I'll Be There  film ,1
Maria Nagaya isMarriedTo Ivan IV of Russia,1
Robert Sterling isMarriedTo Ann Sothern,1
Kamal Haasan produced Thevar Magan,1
Amy Leslie isMarriedTo Frank Buck  animal collector ,1
Peter Sollett created Raising Victor Vargas,1
Nicolas Roeg directed Aria  1987 film ,1
Ann Smith Franklin isMarriedTo James Franklin  printer ,1
King Vidor created Better Times  1919 film ,1
Abel Gance produced Au Secours!,1
Marie Prevost isMarriedTo Kenneth Harlan,1
Russell Crowe isMarriedTo Danielle Spencer  Australian singer ,1
Lydia Shum isMarriedTo Adam Cheng,1
Cynthia Stone isMarriedTo Jack Lemmon,1
Michel Ocelot directed Princes et princesses,1
Jennifer Rappaport isMarriedTo Joey Buchanan,1
Princess Sarvath El Hassan isMarriedTo Prince Hassan bin Talal,1
Frank D. Gilroy created Desperate Characters,1
Yılmaz Güney actedIn Zavallılar,1
Prince George of Denmark isMarriedTo Anne of Great Britain,1
Eric Fellner isMarriedTo Gaby Dellal,1
Arcadia Bandini de Stearns Baker isMarriedTo Abel Stearns,1
Srinagarindra isMarriedTo Mahidol Adulyadej,1
Jorge Lanata created Deuda,1
Yılmaz Güney directed Yol,1
Eleanor of Sicily isMarriedTo Peter IV of Aragon,1
Bill Condon directed Dreamgirls  film ,1
Louis Bonaparte isMarriedTo Hortense de Beauharnais,1
Alex Fong  actor  isMarriedTo Hoyan Mok,1
Leander Haußmann created NVA  film ,1
Masud Ahmad livesIn Islamabad,1
Nicolas Roeg created Aria  1987 film ,1
Luis Bayón Herrera created Jettatore,1
Quentin Tarantino produced My Best Friend's Birthday,1
Abel Gance directed Poliche,1
Natalie Buchanan isMarriedTo Jared Banks,1
Marshall Brickman directed Simon  1980 film ,1
Gaius Caesar isMarriedTo Livilla  sister of Claudius ,1
Lucien Hubbard created The Mysterious Island  1929 film ,1
Bo Buchanan isMarriedTo Nora Hanen,1
Constantine II of Greece isMarriedTo Queen Anne-Marie of Greece,1
Napoleon Louis Bonaparte isMarriedTo Charlotte Napoléone Bonaparte,1
Nora Hanen isMarriedTo Clint Buchanan,1
Theresa Russell isMarriedTo Nicolas Roeg,1
Maurice Cloche directed Peppino e Violetta,1
Norodom Sihanouk directed The Last Days of Colonel Savath,1
Karl Hartl directed Mozart  1955 film ,1
John I of Aragon isMarriedTo Violant of Bar,1
Christiane Amanpour isMarriedTo James Rubin,1
Jared Banks isMarriedTo Natalie Buchanan,1
Diane Keen isMarriedTo Paul Greenwood,1
Sheldon Reynolds  producer  directed Killer's Carnival,1
Clive Barker created Lord of Illusions,1
Warren Beatty produced Bulworth,1
Ibrahim Nasir isMarriedTo Naseema Mohamed,1
Narriman Sadek isMarriedTo Farouk of Egypt,1
Alan Rudolph directed Trouble in Mind  film ,1
Mitsuaki Hoshino isMarriedTo Yūko Kobayashi,1
Ferdinand I of Aragon isMarriedTo Eleanor of Alburquerque,1
Jerry Seinfeld produced Bee Movie,1
Ishirō Honda directed Godzilla  1954 film ,1
Joey Buchanan isMarriedTo Jennifer Rappaport,1
Julie Clary isMarriedTo Joseph Bonaparte,1
Nathan Hastings hasChild Olivia Winters,1
Martha of Armagnac isMarriedTo John I of Aragon,1
Arthur Rankin directed  Jr. The Flight of Dragons,0
Jane Wyman isMarriedTo Ronald Reagan,1
Qian Zhongshu isMarriedTo Yang Jiang,1
Michele Lupo created The Master Touch,1
Princess Tomohito of Mikasa isMarriedTo Prince Tomohito of Mikasa,1
Tonia Marketaki directed Crystal Nights,1
Charles I of Austria isMarriedTo Zita of Bourbon-Parma,1
John of England isMarriedTo Isabella of Angoulême,1
Warren Beatty directed Reds  film ,1
Paul Spence produced FUBAR  film ,1
Archduke Ferdinand Karl Viktor of Austria-Este isMarriedTo Archduchess Elisabeth Franziska of Austria,1
Arthur Rankin produced  Jr. The Daydreamer,1
Seth Cohen isMarriedTo Summer Roberts,1
Param Gill created Hotel Hollywood,1
Archduchess Maria Theresa of Austria  1862–1933  isMarriedTo Archduke Charles Stephen of Austria,1
Maija DiGiorgio directed Bitter Jester,1
Dimpy Mahajan isMarriedTo Rahul Mahajan  Reality TV Personality ,1
David Dhawan directed Taaqatwar,1
Ivan IV of Russia isMarriedTo Maria Nagaya,1
Abel Gance directed Au Secours!,1
Guan Hu directed Dirt  1994 film ,1
Pauline Koch isMarriedTo Hermann Einstein,1
Henry III of France isMarriedTo Louise of Lorraine,1
Dominique-France Picard isMarriedTo Fuad II of Egypt,1
Violant of Bar isMarriedTo John I of Aragon,1
Kenneth Harlan isMarriedTo Marie Prevost,1
Ken Olin isMarriedTo Patricia Wettig,1
Witold Leszczyński created Matthew's Days,1
Abel Gance created Le droit à la vie,1
Prince Alexander of Belgium isMarriedTo Princess Léa of Belgium,1
Arthur Kent White isMarriedTo Kathleen Merrell White,1
Neil Gaiman created A Short Film About John Bolton,1
Palito Ortega actedIn El Tío Disparate,1
Princess Marie of Orléans  1865–1909  isMarriedTo Prince Valdemar of Denmark,1
Dani Levy created Alles auf Zucker!,1
Matilda of Holstein isMarriedTo Abel of Denmark,1
Dimitri Marick isMarriedTo Erica Kane,1
Kay Bennett isMarriedTo Fox Crane,1
Lilyan Tashman isMarriedTo Edmund Lowe,1
Abel Gance created La Digue  film ,1
Jesse Birdsall isMarriedTo Gwyneth Strong,1
R. Kannan directed Jayamkondaan,1
Afonso I of Portugal isMarriedTo Maud of Savoy,1
Abel Gance created Poliche,1
Olga Feodorovna of Baden isMarriedTo Grand Duke Michael Nikolaevich of Russia,1
Quentin Tarantino directed Grave Danger,1
Jacques Feyder created Faces of Children,1
King Vidor created Our Daily Bread  1934 film ,1
Frances Hughes Glendening isMarriedTo Parris Glendening,1
Gustav III of Sweden isMarriedTo Sophia Magdalena of Denmark,1
Harry Enfield created Kevin & Perry Go Large,1
Henry II of France isMarriedTo Catherine de' Medici,1
Naseema Mohamed isMarriedTo Ibrahim Nasir,1
Paul Auster directed Blue in the Face,1
Chris Rock produced I Think I Love My Wife,1
Louise of Lorraine isMarriedTo Henry III of France,1
Phillip Spaulding isMarriedTo Harley Cooper,1
Noboru Iguchi directed The Machine Girl,1
Ishirō Honda created Godzilla  1954 film ,1
Palito Ortega created El Tío Disparate,1
Umberto II of Italy isMarriedTo Marie José of Belgium,1
Tamiliam Subas directed Vanni Mouse,1
Carlos Atanes created PROXIMA,1
King Vidor directed Wild Oranges,1
Madonna  entertainer  created I'm Going to Tell You a Secret,1
Warren Beatty directed Heaven Can Wait  1978 film ,1
Jill Hennessy directed The Acting Class,1
Blair Cramer isMarriedTo Todd Manning,1
Conway Berners-Lee isMarriedTo Mary Lee Woods,1
Georg Balthasar Metzger livesIn Germany,1
Alan Alda directed The Four Seasons  film ,1
Rajan Khosa directed Dance of the Wind,1
Lord Guilford Dudley isMarriedTo Lady Jane Grey,1
Jeff Donnell isMarriedTo Aldo Ray,1
Emilio Estevez actedIn The War at Home  film ,1
Fuad II of Egypt isMarriedTo Dominique-France Picard,1
Philip I of France isMarriedTo Bertha of Holland,1
Xu Zhimo isMarriedTo Zhang Youyi,1
Stefania Grodzieńska isMarriedTo Jerzy Jurandot,1
Bruce Willis isMarriedTo Demi Moore,1
Odoardo Di Santo isMarriedTo Maria Augimeri,1
Gail O'Grady isMarriedTo Jeffrey Byron,1
Elisabeth of Hungary  1128–1154  isMarriedTo Mieszko III the Old,1
Princess Gisela of Bavaria isMarriedTo Prince Alexander of Saxe-Gessaphe,1
Elisabeth Elliot isMarriedTo Jim Elliot,1
Oskar Schindler isMarriedTo Emilie Schindler,1
Abel Gance directed The Tenth Symphony,1
Ursula Thiess isMarriedTo Robert Taylor  actor ,1
Matilda of Boulogne isMarriedTo Stephen of England,1
Joss Whedon directed Goners,1
Boris III of Bulgaria isMarriedTo Giovanna of Italy,1
Victor Emmanuel III of Italy isMarriedTo Elena of Montenegro,1
Peter IV of Aragon isMarriedTo Maria of Navarre,1
Norodom Sihanouk created An Ambition Reduced to Ashes,1
Raymond Bernard created Les Misérables  1934 film ,1
Pakistan Atomic Energy Commission isLocatedIn Islamabad,1
Archduchess Elisabeth Franziska of Austria isMarriedTo Archduke Ferdinand Karl Viktor of Austria-Este,1
Judith of Swabia isMarriedTo Władysław I Herman,1
Abel Gance directed End of the World  1931 film ,1
Warren Beatty created Heaven Can Wait  1978 film ,1
Mitch Laurence isMarriedTo Dorian Lord,1
Serge Gainsbourg directed Équateur  film ,1
Ivan IV of Russia isMarriedTo Anastasia of Russia,1
Abel Gance directed Un drame au château d'Acre,1
Norman Mailer directed Maidstone  film ,1
Barbara Stanwyck isMarriedTo Frank Fay  American actor ,1
Román Viñoly Barreto created La Bestia debe morir,1
Kirk Cameron isMarriedTo Chelsea Noble,1
Rudolph I of Germany isMarriedTo Gertrude of Hohenburg,1
Haakon VII of Norway isMarriedTo Maud of Wales,1
Loni Anderson isMarriedTo Burt Reynolds,1
Bert Haanstra directed Fanfare  film ,1
Maija DiGiorgio actedIn Bitter Jester,1
Leopold II of Belgium isMarriedTo Marie Henriette of Austria,1
Shuji Kataoka created S&M Hunter,1
David Mamet created House of Games,1
Kevin Munroe directed TMNT  film ,1
Władysław I Herman isMarriedTo Judith of Swabia,1
Paul Scheer isMarriedTo June Diane Raphael,1
Catherine II of Russia isMarriedTo Peter III of Russia,1
Natalia Brasova isMarriedTo Grand Duke Michael Alexandrovich of Russia,1
Jack Norworth isMarriedTo Louise Dresser,1
Vilsoni Hereniko created The Land Has Eyes,1
Tuesday Weld isMarriedTo Dudley Moore,1
Abel Stearns isMarriedTo Arcadia Bandini de Stearns Baker,1
M. Night Shyamalan created Praying with Anger,1
Guy Ritchie directed The Hire,1
Dimitri Marick hasChild Erica Kane,0
Marshall Brickman produced The Manhattan Project  film ,1
Román Viñoly Barreto produced La Bestia debe morir,1
Alan Rudolph created Afterglow  film ,1
Jacques Doillon created The Pirate  1984 film ,1
Pannarai isMarriedTo Mongkut,1
Eduardo Capetillo isMarriedTo Bibi Gaytán,1
Olivia Spencer hasChild Phillip Spaulding,1
Edward I of England isMarriedTo Eleanor of Castile,1
Louise of the Netherlands isMarriedTo Charles XV of Sweden,1
Diana Hoddinott isMarriedTo Harry Towb,1
M. Night Shyamalan actedIn Praying with Anger,1
Paul Greenwood isMarriedTo Diane Keen,1
Marco Ferreri directed The Story of Piera,1
Abel Gance created Au Secours!,1
Elissa Ambrose isCitizenOf Canada,1
Amalie Auguste of Bavaria isMarriedTo John of Saxony,1
Astrid of Sweden isMarriedTo Leopold III of Belgium,1
Phillip Spaulding hasChild Olivia Spencer,1
Anastasia of Kiev isMarriedTo Andrew I of Hungary,1
Adrianne Curry isMarriedTo Christopher Knight,1
John II of Aragon isMarriedTo Blanche I of Navarre,1
Mieszko III the Old isMarriedTo Eudoxia of Kiev,1
Sunil Dutt directed Reshma Aur Shera,1
Maud of Wales isMarriedTo Haakon VII of Norway,1
Princess Margaretha of Sweden isMarriedTo Prince Axel of Denmark,1
Lady Jane Grey isMarriedTo Lord Guilford Dudley,1
Denis Héroux created Valérie,1
Marilyn Monroe isMarriedTo Arthur Miller,1
Nicky Henson isMarriedTo Una Stubbs,1
Prince Christian of Schleswig-Holstein isMarriedTo Princess Helena of the United Kingdom,1
Prince Rasso of Bavaria isMarriedTo Archduchess Theresa of Austria  b. 1931 ,1
Vajiralongkorn isMarriedTo Soamsavali Kitiyakara,1
Minnie Marx isMarriedTo Sam Marx,1
Tad Martin hasChild Brooke English,1
Harald V of Norway isMarriedTo Queen Sonja of Norway,1
Liza Minnelli isMarriedTo David Gest,1
Michael Bell  mayor  wasBornIn Toledo  Ohio,1
Eddie Griffin produced Dysfunktional Family,1
Marco Ferreri created L'udienza,1
Charles VII of France isMarriedTo Marie of Anjou,1
Siva Selliah wasBornIn Colombo,1
Philip I of France isMarriedTo Bertrade de Montfort,1
Yūko Kobayashi isMarriedTo Mitsuaki Hoshino,1
Stanisław Kostka Zamoyski isMarriedTo Zofia Czartoryska,1
Nancy Carell isMarriedTo Steve Carell,1
Paul Auster created Lulu on the Bridge,1
Bryce Dallas Howard isMarriedTo Seth Gabel,1
Arthur Rankin directed  Jr. The Last Unicorn  film ,1
Arthur Rankin produced  Jr. The Last Dinosaur,1
Ruth Martin  All My Children  isMarriedTo Joe Martin  All My Children ,1
Farouk of Egypt isMarriedTo Narriman Sadek,1
Lucas Belvaux created La Raison du plus faible,1
Serge Gainsbourg created Équateur  film ,1
Chelsea Noble isMarriedTo Kirk Cameron,1
Carla von Lahnstein isMarriedTo Bernd von Beyenbach,1
Marzieh Meshkini directed Stray Dogs  film ,1
Arthur Rankin directed  Jr. The Return of the King  1980 film ,1
Brian Dannelly directed Saved!,1
Edmund Lowe isMarriedTo Lilyan Tashman,1
Márton Keleti directed Two Confessions,1
Cliff Robertson isMarriedTo Cynthia Stone,1
Maria Christina of Austria isMarriedTo Alfonso XII of Spain,1
Abel Gance created Louise  film ,1
Param Gill directed Hotel Hollywood,1
Isabel Burton isMarriedTo Richard Francis Burton,1
Nicolas Roeg isMarriedTo Theresa Russell,1
Prince Eduard of Saxe-Altenburg isMarriedTo Princess Amalie of Hohenzollern-Sigmaringen,1
Felicia Farr isMarriedTo Jack Lemmon,1
Henri-Georges Clouzot directed The Wages of Fear,1
Marco Ferreri directed Break Up  film ,1
Todd Manning isMarriedTo Blair Cramer,1
Isabel Coixet directed Map of the Sounds of Tokyo,1
Gordon Ramsay isMarriedTo Tana Ramsay,1
Charlotte Napoléone Bonaparte isMarriedTo Napoleon Louis Bonaparte,1
Vasili III of Russia isMarriedTo Elena Glinskaya,1
Napoleon I isMarriedTo Joséphine de Beauharnais,1
Tage Danielsson directed The Adventures of Picasso,1
Norodom Sihanouk created The Last Days of Colonel Savath,1
Saeed Akhtar Mirza directed Mohan Joshi Hazir Ho!,1
Nancy Reagan isMarriedTo Ronald Reagan,1
Michael Dowse created Kids in America  2011 film ,1
Alan Alda actedIn The Four Seasons  film ,1
Alice Hathaway Lee Roosevelt isMarriedTo Theodore Roosevelt,1
Archduchess Marie Caroline of Austria isMarriedTo Frederick Augustus II of Saxony,1
Carlos Atanes directed PROXIMA,1
Clive Barker created Hellraiser,1
Mai Zetterling directed Doctor Glas  film ,1
Leonard von Lahnstein isMarriedTo Cécile de Maron,1
Abel Gance directed The Torture of Silence,1
Karl Hartl created Mozart  1955 film ,1
Marie Henriette of Austria isMarriedTo Leopold II of Belgium,1
Georg Ludwig von Trapp isMarriedTo Maria von Trapp,1
Kenneth Branagh directed A Midwinter's Tale,1
Sheila Sim isMarriedTo Richard Attenborough,1
Charlotte of Savoy isMarriedTo Louis XI of France,1
Brian Presley isMarriedTo Erin Hershey Presley,1
Henri-Georges Clouzot directed Le Corbeau,1
Olav V of Norway isMarriedTo Princess Märtha of Sweden,1
Isabel Coixet created Map of the Sounds of Tokyo,1
Alan Alda actedIn Sweet Liberty,1
Margherita of Savoy isMarriedTo Umberto I of Italy,1
Bhumibol Adulyadej isMarriedTo Sirikit,1
M. Night Shyamalan directed Praying with Anger,1
Andrew II of Hungary isMarriedTo Gertrude of Merania,1
Jaime Camino directed Spain Again,1
Michelle Obama isMarriedTo Barack Obama,1
Michel Houellebecq directed La Possibilité d'une île  film ,1
King Vidor created His Hour,1
Jerry Seinfeld created Bee Movie,1
Emilio Fernández created Pueblerina,1
Elmar Klos created The Shop on Main Street,1
Sidney Luft isMarriedTo Camille Keaton,1
Jacques Doillon created La Vengeance d'une femme,1
Grand Duke Paul Alexandrovich of Russia isMarriedTo Grand Duchess Alexandra Georgievna of Russia,1
Timothy West isMarriedTo Prunella Scales,1
Tony McHale created Sonia Fowler,1
Brian Dannelly created Saved!,1
Olga Havlová isMarriedTo Václav Havel,1
Éric Rochant directed The Patriots  film ,1
Milena Dravić isMarriedTo Dragan Nikolić,1
Alan Rudolph created Trixie  film ,1
Tzang Merwyn Tong created A Wicked Tale,1
Marzieh Meshkini created Stray Dogs  film ,1
Abel Gance directed Barberousse,1
John of Saxony isMarriedTo Amalie Auguste of Bavaria,1
Clive Barker directed Hellraiser,1
Emilio Fernández created Rosanna  film ,1
Livilla  sister of Claudius  isMarriedTo Gaius Caesar,1
Nora Hanen isMarriedTo Hank Gannon,1
Sophie of Mecklenburg-Güstrow isMarriedTo Frederick II of Denmark,1
Pierre Andre created I'm Not Single,1
Eudoxia of Kiev isMarriedTo Mieszko III the Old,1
Kelly Kapowski isMarriedTo Zack Morris,1
Buddha Loetla Nabhalai isMarriedTo Sri Sulalai,1
Alan Rudolph created Trouble in Mind  film ,1
Michel Ocelot created Princes et princesses,1
Princess Charlotte of Saxe-Hildburghausen isMarriedTo Prince Paul of Württemberg,1
Spike Lester isMarriedTo Jessica Bennett,1
Alexander III of Russia isMarriedTo Maria Feodorovna  Dagmar of Denmark ,1
Jean-Pierre Mocky directed Un drôle de paroissien,1
Rick Rubin directed Tougher Than Leather  film ,1
Yves Angelo directed Colonel Chabert  1994 film ,1
Denis Héroux directed Valérie,1
Anne of Great Britain isMarriedTo Prince George of Denmark,1
Kamal Haasan created Thevar Magan,1
Hiten Tejwani isMarriedTo Gauri Pradhan Tejwani,1
Sunil Dutt produced Reshma Aur Shera,1
Natalia Rivera Aitoro isMarriedTo Gus Aitoro,1
Norman Manley isMarriedTo Edna Manley,1
Adam Chandler isMarriedTo Gloria Marsh,1
Alex Chandon created Pervirella,1
Ali Selim created Sweet Land,1
Abel Gance directed The Ironmaster,1
Zack Morris isMarriedTo Kelly Kapowski,1
Alan Alda created Sweet Liberty,1
Ferdinand II of Aragon isMarriedTo Isabella I of Castile,1
King Vidor created Wild Oranges,1
Joseph Warder diedIn Jeffersonville  Indiana,1
Alan Rudolph created Choose Me,1
Chan Hung-lit isMarriedTo Angela Pan,1
Alexandrine of Mecklenburg-Schwerin isMarriedTo Christian X of Denmark,1
Zita of Bourbon-Parma isMarriedTo Charles I of Austria,1
Emma Heming isMarriedTo Bruce Willis,1
Abel Gance created The Tenth Symphony,1
Natalie Buchanan isMarriedTo Cristian Vega,1
Kate Isitt isMarriedTo Nigel Cole,1
Quentin Tarantino created Grave Danger,0
Sunil Dutt actedIn Reshma Aur Shera,1
Artie Lange actedIn Artie Lange's Beer League,1
Marco Ferreri directed L'udienza,1
Henry Washington Younger isMarriedTo Bersheba Leighton Fristoe,1
Michael Dowse directed FUBAR 2  film ,1
Vladimir Nabokov isMarriedTo Vera Nabokov,1
Jamil Dehlavi produced The Blood of Hussain,1
Victoria of Baden isMarriedTo Gustaf V of Sweden,1
Jacques Doillon directed Family Life  1985 film ,1
Ann Keen isMarriedTo Alan Keen,1
Queen Anne-Marie of Greece isMarriedTo Constantine II of Greece,1
Steven E. de Souza created Possessed  2000 film ,1
Simon Templeman isMarriedTo Rosalind Chao,1
Lucien Hubbard directed The Mysterious Island  1929 film ,1
Leonid Trauberg created The Vyborg Side,1
Bertrade de Montfort isMarriedTo Philip I of France,1
Noboru Iguchi directed RoboGeisha,1
Benito Alazraki created Roots  film ,1
Xander Berkeley isMarriedTo Sarah Clarke,1
Abel Gance created The Mask of Horror,1
Frank Fay  American actor  isMarriedTo Barbara Stanwyck,1
Carlos Thompson isMarriedTo Lilli Palmer,1
Seth Gabel isMarriedTo Bryce Dallas Howard,1
Nikolai Kulikovsky isMarriedTo Grand Duchess Olga Alexandrovna of Russia,1
Mai Zetterling created Loving Couples  1964 film ,0
Saif Ali Khan isMarriedTo Amrita Singh,1
Gloria Marsh isMarriedTo Adam Chandler,1
Debsirindra isMarriedTo Mongkut,1
Elisabeth of Wied isMarriedTo Carol I of Romania,1
Nelson George created Life Support  film ,1
Alan Rudolph directed Afterglow  film ,1
Grand Duchess Alexandra Georgievna of Russia isMarriedTo Grand Duke Paul Alexandrovich of Russia,1
Sri Sulalai isMarriedTo Buddha Loetla Nabhalai,1
Quentin Tarantino actedIn My Best Friend's Birthday,1
Warren Beatty created Bulworth,1
Quentin Tarantino produced From Dusk till Dawn,1
Constance of Aragon isMarriedTo Emeric of Hungary,1
Gertrude of Merania isMarriedTo Andrew II of Hungary,1
Chulalongkorn isMarriedTo Saovabha Bongsri,1
Abhishek Bachchan isMarriedTo Aishwarya Rai,1
Ronald Reagan isMarriedTo Nancy Reagan,1
Leander Haußmann directed NVA  film ,1
Sidney Luft isMarriedTo Lynn Bari,1
Alex Chandon directed Bad Karma  1991 film ,1
Ethan Winthrop isMarriedTo Theresa Lopez-Fitzgerald Crane,1
David Gest isMarriedTo Liza Minnelli,1
Margaret of Valois isMarriedTo Henry IV of France,1
Pierce Brosnan isMarriedTo Keely Shaye Smith,1
Robin Williams created Mrs. Doubtfire,1
Jennifer Rappaport isMarriedTo Rex Balsom,1
Eric Byler created Americanese,1
Mutemwiya isMarriedTo Thutmose IV,1
Andrew Lane produced Jake Speed,1
Henri-Georges Clouzot created La Vérité  film ,1
Jeffrey Hunter isMarriedTo Barbara Rush,1
Clive Barker directed Lord of Illusions,1
Sophia Magdalena of Denmark isMarriedTo Gustav III of Sweden,1
Tiye isMarriedTo Amenhotep III,1
Peter Gilmore isMarriedTo Jan Waters,1
Keely Shaye Smith isMarriedTo Pierce Brosnan,1
Masud Ahmad worksAt Pakistan Atomic Energy Commission,1
Abel Gance created The Zone of Death,1
Leonid Trauberg directed The Vyborg Side,1
Alex Chandon created Drillbit  film ,1
Colin Mochrie isMarriedTo Debra McGrath,1
Neil Gaiman directed A Short Film About John Bolton,1
Gauri Pradhan Tejwani isMarriedTo Hiten Tejwani,1
Marie de' Medici isMarriedTo Henry IV of France,1
Maria Feodorovna  Dagmar of Denmark  isMarriedTo Alexander III of Russia,1
Henry I of France isMarriedTo Anne of Kiev,1
Marco Ferreri created Bye Bye Monkey,1
François Dupeyron created Monsieur Ibrahim,1
Jackson Montgomery isMarriedTo Erica Kane,1
Cassandra Harris isMarriedTo Pierce Brosnan,1
Fernando Cerchio created Lulu  1953 film ,1
Warren Beatty produced Heaven Can Wait  1978 film ,0
Kevin Buchanan isMarriedTo Kelly Cramer,1
Fernando Cerchio directed Lulu  1953 film ,1
Maria Christina of Savoy isMarriedTo Ferdinand II of the Two Sicilies,1
Kelly Cramer isMarriedTo Joey Buchanan,1
Tony McHale created Carol Jackson,1
Pieter Verhoeff directed Mates  film ,1
Cliff Robertson produced J. W. Coop,1
Duke Karl-Theodor in Bavaria isMarriedTo Princess Sophie of Saxony,1
Catherine de' Medici isMarriedTo Henry II of France,1
Warren Beatty directed Dick Tracy  1990 film ,1
Kenneth Branagh produced Love's Labour's Lost  2000 film ,1
Dudley Moore isMarriedTo Suzy Kendall,1
Mongkut isMarriedTo Pannarai,1
Ferdinand VII of Spain isMarriedTo Maria Christina of the Two Sicilies,1
Johann Georg Macasius livesIn Germany,1
Leonid Trauberg created Simple People,1
Jan Waters isMarriedTo Peter Gilmore,1
Brooke English hasChild Tad Martin,1
Tina Lord isMarriedTo David Vickers,1
Jacques Feyder directed Crainquebille,1
Louise of Mecklenburg-Strelitz isMarriedTo Frederick William III of Prussia,1
Eleanor Boardman isMarriedTo King Vidor,1
Henry Hotspur Percy isMarriedTo Lady Elizabeth Mortimer,1
Princess Marie of Denmark isMarriedTo Prince Joachim of Denmark,1
Princess Margaret of Connaught isMarriedTo Gustaf VI Adolf of Sweden,1
Pierce Brosnan isMarriedTo Cassandra Harris,1
Harold Nicholas isMarriedTo Dorothy Dandridge,1
Jonathan Lee  record producer  isMarriedTo Sandy Lam,1
Tony McHale created Billie Jackson,1
Abel Gance produced J'accuse!  1938 film ,1
Princess Amalie of Hohenzollern-Sigmaringen isMarriedTo Prince Eduard of Saxe-Altenburg,1
Michael Langone created Recovery from Cults,1
Soamsavali Kitiyakara isMarriedTo Vajiralongkorn,1
Judy Carne isMarriedTo Burt Reynolds,1
Mohéli hasOfficialLanguage Arabic language,1
Saeed Akhtar Mirza directed Albert Pinto Ko Gussa Kyon Aata Hai,1
Princess Dorothea of Bavaria isMarriedTo Archduke Gottfried of Austria,1
Nazli Sabri isMarriedTo Fuad I of Egypt,1
Blanche I of Navarre isMarriedTo John II of Aragon,1
Emilio Fernández created The Torch  film ,1
Clive Barker produced Lord of Illusions,1
Warren Beatty actedIn Love Affair  1994 film ,1
Marco Ferreri directed Don't Touch the White Woman!,1
Cristian Vega isMarriedTo Natalie Buchanan,1
Kenneth Branagh isMarriedTo Emma Thompson,1
Mark E. Kelly isMarriedTo Gabrielle Giffords,1
Mohéli hasOfficialLanguage Comorian language,1
Ruth Martin  All My Children  hasChild Joe Martin  All My Children ,1
Gustaf VI Adolf of Sweden isMarriedTo Louise Mountbatten,1
Christian X of Denmark isMarriedTo Alexandrine of Mecklenburg-Schwerin,1
Wendi Deng isMarriedTo Rupert Murdoch,1
Nora Hanen isMarriedTo Bo Buchanan,1
King Vidor directed Bud's Recruit,1
King Vidor created Love Never Dies  1921 film ,1
Alan Alda created The Four Seasons  film ,1
Dimitri Marick isMarriedTo Gloria Marsh,1
Frances Langford isMarriedTo Jon Hall,1
Prince Paul of Württemberg isMarriedTo Princess Charlotte of Saxe-Hildburghausen,1
Albert Einstein isMarriedTo Mileva Marić,1
Jeffrey Byron isMarriedTo Gail O'Grady,1
Bolesław IV the Curly isMarriedTo Viacheslava of Novgorod,1
Artie Lange produced Artie Lange's Beer League,1
Nathan Hastings isMarriedTo Olivia Winters,1
Dorian Lord isMarriedTo Mitch Laurence,1
Vasili III of Russia isMarriedTo Solomonia Saburova,1
Peter III of Russia isMarriedTo Catherine II of Russia,1
Abel Gance actedIn End of the World  1931 film ,1
Michael Bell  mayor  livesIn Toledo  Ohio,1
Saeed Akhtar Mirza produced Mohan Joshi Hazir Ho!,1
Martin Lawrence actedIn You So Crazy,1
Elena Glinskaya isMarriedTo Vasili III of Russia,1
Natalie Buchanan isMarriedTo Mitch Laurence,1
Leopold III of Belgium isMarriedTo Astrid of Sweden,1
Amitabh Bachchan isMarriedTo Jaya Bachchan,1
Paloma Lopez-Fitzgerald isMarriedTo Noah Bennett,1
Norodom Sihanouk produced My Village at Sunset,1
Joseph Heller created Catch-22,1
Dragan Nikolić isMarriedTo Milena Dravić,1
Amrita Singh isMarriedTo Saif Ali Khan,1
Leonard Woolf isMarriedTo Virginia Woolf,1
